name,category_l2,lat,lng,rating,review_count,price_band,open_status
煲秋香煲仔饭(学源居店),中式快餐,33.652044,116.943997,4,8,2,open
夏氏眼镜(银河三路店),服饰店,33.652531,116.949937,3.8,8,3,open
balabala巴拉巴拉(万达广场店),服饰店,33.653794,116.949675,3.7,8,3,open
鱼见你·烤鱼专门店(万达店),中式快餐,33.653793,116.949678,4.3,8,2,open
湘邻呷铺(学源居店),中式快餐,33.651885,116.943997,3.5,8,2,open
星视视光中心,服饰店,33.652311,116.943857,3.6,8,3,open
华为授权服务中心(宿州万达广场),服饰店,33.653942,116.949606,4.1,8,3,open
海底捞火锅(万达广场店),中式快餐,33.653587,116.949797,4.6,8,3,open
HuluHulu宠物,服饰店,33.651197,116.949383,4.3,8,3,open
米谷恋拌饭(万达广场店),中式快餐,33.653887,116.949705,3.6,8,1,open
红蜻蜓(万达广场店),服饰店,33.653888,116.949707,3.6,8,3,open
大金空调官方直营店,服饰店,33.651725,116.943998,4.1,8,3,open
蟹庄缘阳澄湖大闸蟹宿州万达店,中式快餐,33.654068,116.949602,3.5,8,2,open
馨瑞产后恢复中心(宝妈港湾),健康管理,33.651179,116.949415,4.1,8,3,open
张亮麻辣烫(宿州万达店),中式快餐,33.653755,116.949801,3.8,8,1,open
以纯(宿州埇桥万达广场店),服饰店,33.654179,116.949532,3.7,8,3,open
星际梦想城(埇桥万达店),桌游馆,33.653351,116.949961,4.2,8,4,open
林清轩(宿州万达广场店),美妆集合店,33.653961,116.949703,3.6,8,3,open
CoCo都可(宿州万达店),中式快餐,33.653962,116.949704,4.4,8,1,open
欧盾门窗(学源居店),服饰店,33.651592,116.944012,3.9,8,3,open
大成自助小火锅(宿州埇桥万达广场店),中式快餐,33.6538,116.949823,4,8,2,open
康元盲人医疗按摩诊所,生活服务,33.651129,116.949439,4.5,8,2,open
摇篮宝贝婴幼儿童装(万达广场店),服饰店,33.653564,116.949947,3.5,8,3,open
万达广场爱心献血屋,健康管理,33.653178,116.950061,3.5,8,3,open
全日可颂(万达一店),面包甜点,33.653321,116.95003,4.3,8,1,open
耐克Nike(万达广场店),服饰店,33.654125,116.949675,3.8,8,3,open
NOWWA挪瓦咖啡(美宜佳宿州埇桥老万达优选店),咖啡馆,33.654219,116.949609,3.7,8,1,open
美宜佳(万达广场店),便利店,33.654228,116.949643,3.9,8,1,open
比格比萨自助(宿州埇桥万达店),中式快餐,33.653975,116.949825,4.4,8,2,open
小橘玉指耳艺文化生活馆(宿州碧桂园店),生活服务,33.651062,116.949497,3.5,8,2,open
罗曼林冰淇淋(万达广场宿州店),中式快餐,33.653633,116.950021,3.9,8,1,open
鱼你在一起(泗县店),中式快餐,33.653805,116.949948,3.9,8,2,open
古集,中式快餐,33.654252,116.949694,4.2,8,2,open
茉莉奶白(宿州埇桥万达店),中式快餐,33.653507,116.950123,4,8,1,open
刘一手重庆火锅(宿州非遗旗舰店),中式快餐,33.654452,116.949554,4.2,8,2,open
飞科(万达广场店),服饰店,33.653975,116.949925,3.6,8,3,open
鸡庆有鱼老灶台饭店,中式快餐,33.65241,116.950254,4.3,8,2,open
李宁青少年(万达广场店),服饰店,33.65386,116.950001,3.6,8,3,open
泰兰尼斯TARANIS(宿州埇桥万达广场店),服饰店,33.653925,116.949981,3.6,8,3,open
一诺动物医院(碧桂园店),健康管理,33.650913,116.949488,4.4,8,3,open
奇遇小镇(万达广场宿州店),文娱,33.653608,116.950141,3.5,8,2,open
顺丰速运(碧桂园店),生活服务,33.650862,116.949482,4.3,8,2,open
PEACEBIRD太平鸟男装(万达广场店),服饰店,33.654118,116.949929,3.5,8,3,open
肯德基(宿州万达店),中式快餐,33.653455,116.950245,4.6,8,2,open
炫法式铁板烧(万达广场店),中式快餐,33.65391,116.950056,3.8,8,2,open
美画轻奢美甲美睫(宿州万达店),生活服务,33.654536,116.94961,4.2,8,3,open
马克珍妮(宿州埇桥区万达店),服饰店,33.654274,116.94984,3.5,8,3,open
vivo官方授权体验店(埇桥万达vivo体验店),服饰店,33.654325,116.949825,3.9,8,3,open
麻六记酸辣粉(宿州埇桥万达广场店),中式快餐,33.654093,116.949998,4,8,1,open
FILA(万达广场店),服饰店,33.654525,116.949675,3.8,8,3,open
老凤祥(万达广场店),服饰店,33.653821,116.950166,3.9,8,3,open
MLB(万达广场店),服饰店,33.654164,116.949987,4,8,3,open
宿州市糖颂儿童摄影有限公司,生活服务,33.654567,116.949674,4.2,8,4,open
火火兔启蒙玩学馆,语言培训,33.653475,116.950325,3.5,8,4,open
格瑞特母婴游泳水育中心,生活服务,33.654125,116.950025,4,8,2,open
印象树(万达广场店),服饰店,33.654125,116.950025,3.5,8,3,open
永辉超市,服饰店,33.654396,116.949832,4.4,8,3,open
万达广场,服饰店,33.654118,116.950034,4.7,8,3,open
花宝街石锅鸡公煲(安徽宿州埇桥区万达广场店),中式快餐,33.654116,116.950037,4.1,8,1,open
作业帮AI学习机学习桌专卖店(老万达店),服饰店,33.654116,116.950037,3.7,8,3,open
古今(宿州万达广场店),服饰店,33.654566,116.949689,3.5,8,3,open
ABC KIDS(宿州埇桥万达广场店),服饰店,33.654267,116.949936,3.5,8,3,open
马家姊妹面皮(万达店),中式快餐,33.654564,116.949691,4,8,1,open
叁家店理髪馆,生活服务,33.652425,116.950425,4.6,8,3,open
半天妖烤鱼(万达广场店),中式快餐,33.654213,116.950002,4.1,8,2,open
大玩家游艺(宿州万达店)(暂停营业),文娱,33.653525,116.950225,4.1,8,2,open
吴良材眼镜(银河三路店),服饰店,33.652489,116.950463,3.9,8,3,open
中草集人参护肤(宿州埇桥万达广场店),美妆集合店,33.654675,116.949625,3.5,8,3,open
星秀模特艺术学院,语言培训,33.650662,116.949464,3.9,8,4,open
山姆大叔,中式快餐,33.654333,116.949944,4.1,8,2,open
元气好物集合店(万达广场宿州店),服饰店,33.654609,116.949714,3.5,8,3,open
红豆居家(万达广场店),服饰店,33.65464,116.949685,3.8,8,3,open
多妙屋亲子运动中心(万达店),文娱,33.653409,116.950409,3.8,8,4,open
米村拌饭(宿州埇桥万达店),中式快餐,33.654337,116.949963,4.2,8,2,open
宿州市家天下房产经纪有限公司,生活服务,33.652363,116.950492,3.8,8,2,open
牛得钢·齐齐哈尔烤肉自助(宿州万达广场店),中式快餐,33.654475,116.949875,4.1,8,2,open
中国福利彩票(万达广场店),生活服务,33.653511,116.950413,3.5,8,2,open
六福珠宝(宿州埇桥万达店),服饰店,33.653511,116.950413,3.6,8,3,open
CHAGEE霸王茶姬(安徽宿州埇桥万达广场店),中式快餐,33.653384,116.950455,4.3,8,1,open
纪念日百货(宿州万达店),服饰店,33.653916,116.950266,3.9,8,3,open
多喜爱(万达广场店),服饰店,33.654725,116.949675,3.7,8,3,open
波司登(万达广场店),服饰店,33.654575,116.949825,4.1,8,3,open
艾灸推拿(学源居店),生活服务,33.650831,116.944022,3.5,8,2,open
乐之翼宝贝王,文娱,33.653425,116.950475,3.9,8,1,open
响隐香云纱埇桥万达店,中式快餐,33.653947,116.950276,3.5,8,2,open
DQ·蛋糕·冰淇淋(宿州万达),中式快餐,33.653822,116.950339,4.4,8,1,open
宿州市埇桥区摩趣邦儿童乐园,文娱,33.65503,116.94935,3.7,8,1,open
OMEGA(万达广场店),服饰店,33.653821,116.950344,3.7,8,3,open
树夏(宿州埇桥万达店),中式快餐,33.65355,116.95046,4.2,8,1,open
人民大药房(万达广场店),健康管理,33.653378,116.95051,3.5,8,3,open
必胜客(万达广场店),中式快餐,33.653352,116.950524,4.5,8,2,open
稻古捞面(宿州埇桥万达店),中式快餐,33.654708,116.949753,3.9,8,1,open
卡旺卡(宿州万达店),中式快餐,33.654678,116.949793,4.5,8,1,open
小猿.猿辅导集团(宿州老万达店),语言培训,33.653575,116.950475,3.8,8,4,open
安踏(万达广场店),服饰店,33.654047,116.950271,3.8,8,3,open
麦当劳(宿州麦当劳万达广场餐厅),中式快餐,33.654923,116.949544,4.4,8,1,open
珀玉泉小淘米养发馆,生活服务,33.653165,116.950586,4.2,8,3,open
菜鸟驿站(宿州碧桂园店),生活服务,33.651,116.94998,3.9,8,2,open
陈伟鸡窝(学源居店),中式快餐,33.650911,116.943861,4.3,8,2,open
万达影城(万达广场店),文娱,33.653594,116.950495,4.7,8,2,open
Babycare(宿州埇桥万达广场新店),服饰店,33.653526,116.950523,4.1,8,3,open
好波(宿州万达广场4店),服饰店,33.654498,116.950011,3.5,8,3,open
Apple授权专营店(埇桥万达店),服饰店,33.654803,116.949734,4.3,8,3,open
北京黄金(万达广场店),服饰店,33.653769,116.950474,3.5,8,3,open
江河里麻辣烤鱼(宿州埇桥万达店),中式快餐,33.654255,116.950224,4.2,8,2,open
蕉下(安徽宿州万达广场店),文娱,33.654175,116.950275,3.8,8,2,open
小米之家(宿州埇桥区万达广场专卖店),服饰店,33.654851,116.949726,4.2,8,3,open
庆香卤熟食(学源居店),中式快餐,33.649702,116.945821,3.9,8,1,open
快乐舱·星乐码头(宿州万达广场店),服饰店,33.654974,116.949597,3.8,8,3,open
潮宏基(万达广场店),服饰店,33.653516,116.950591,3.6,8,3,open
羊肉馆(学源居店),中式快餐,33.649645,116.946006,4,8,2,open
赖胖子肉蟹煲(万达广场店),中式快餐,33.654258,116.950254,4,8,2,open
S·DEER(宿州万达广场店),服饰店,33.654127,116.95035,3.5,8,3,open
老庙黄金(万达广场店),服饰店,33.653946,116.950449,3.6,8,3,open
卡游(宿州埇桥万达广场店),服饰店,33.654484,116.950115,3.6,8,3,open
一分之一中国风原创设计(万达广场店),服饰店,33.654656,116.949972,3.5,8,3,open
蜜雪冰城(拂晓大道店),中式快餐,33.65534,116.949138,3.9,8,1,open
蓝梦化妆品(宿州万达广场店),美妆集合店,33.653674,116.950569,3.6,8,3,open
新视界眼镜配镜中心(宿州碧桂园店),服饰店,33.65247,116.950723,3.9,8,3,open
喜虾客(万达广场店),中式快餐,33.654628,116.950008,3.9,8,2,open
OPPO官方授权体验店(宿州万达广场店),服饰店,33.654875,116.949775,3.9,8,3,open
尹珍珠·韩式无限烤肉(埇桥万达店),中式快餐,33.654158,116.950354,4.3,8,3,open
万福珠宝(万达广场宿州店),服饰店,33.655364,116.949128,4,8,3,open
巷邻便利店(宿州万达金街店),便利店,33.655341,116.949192,3.7,8,1,open
荣耀授权体验店(宿州埇桥万达广场店),服饰店,33.654742,116.949958,4,8,3,open
海螺湾乐园(宿州埇桥万达广场店),文娱,33.653713,116.950608,3.9,8,2,open
徽香源符离集烧鸡(学源居店),中式快餐,33.649766,116.945318,4,8,2,open
小白鹅火焰鹅焖锅(埇桥万达店),中式快餐,33.655025,116.949675,4.1,8,1,open
老乡鸡(宿州埇桥万达广场店),中式快餐,33.655112,116.94957,4.5,8,1,open
君诚超市,便利店,33.649675,116.945575,3.8,8,1,open
邻几便利店(宿州万达金街店),服饰店,33.653188,116.950769,4.1,8,3,open
木林森(万达广场店),服饰店,33.654138,116.950444,3.5,8,3,open
回力(万达广场店),服饰店,33.653846,116.95059,3.5,8,3,open
尚森烟酒超市(宿州碧桂园店),服饰店,33.652531,116.950815,4.3,8,3,open
金彭眼镜(上海)有限公司,服饰店,33.654925,116.949825,3.8,8,3,open
楼兰新疆菜(宿州埇桥万达店),中式快餐,33.654725,116.950025,4.2,8,2,open
沪上阿姨·精选茶饮(宿州万达广场店),中式快餐,33.654717,116.950033,4,8,1,open
静汐阁采耳养生馆,生活服务,33.652427,116.950813,4,8,2,open
九田家黑牛烤肉料理(宿州埇桥万达广场店),中式快餐,33.65437,116.950317,4,8,3,open
名创优品(万达广场店),服饰店,33.654351,116.950341,4.1,8,3,open
POLOWALK (宿州埇桥万达广场店),服饰店,33.654204,116.95044,3.5,8,3,open
爱尔瑜伽普拉提(万达金街店),健身工作室,33.655163,116.949582,4.3,8,4,open
GGVV男装(万达广场店),服饰店,33.653857,116.95062,3.6,8,3,open
玺耳采耳养生馆,健康管理,33.652476,116.950842,4.3,8,2,open
老郑烤肉筋(万达金街店),中式快餐,33.653275,116.950825,3.5,8,1,open
华为智能生活馆•宿州万达广场,服饰店,33.654998,116.94984,4.1,8,3,open
LILANZ利郎(万达广场店),服饰店,33.654427,116.950351,3.7,8,3,open
鸿星尔克(万达广场店),服饰店,33.654475,116.950325,3.6,8,3,open
海澜之家(宿州埇桥万达广场店),服饰店,33.653823,116.950693,4,8,3,open
学明居板面(学源居店),中式快餐,33.649643,116.945344,3.8,8,1,open
丰原大药房(学源居店),健康管理,33.649697,116.945189,3.5,8,3,open
悦美荟美容美发,生活服务,33.652457,116.95091,3.9,8,4,open
嗦螺螺蛳粉(万达店),中式快餐,33.655625,116.948975,3.7,8,1,open
简法造型(学源居店),生活服务,33.649643,116.945296,4.2,8,4,open
百姓缘大药房(万达广场店),中式快餐,33.653136,116.950911,3.9,8,2,open
科大讯飞AI学习机专卖店(宿州万达店),服饰店,33.654825,116.950075,4.2,8,3,open
蜜雪冰城(万达广场店),中式快餐,33.6533,116.950886,4.1,8,1,open
金满蛋糕(万达广场店),面包甜点,33.653238,116.950901,4.4,8,3,open
蓝小猫女子健身馆,健身工作室,33.655125,116.949775,3.7,8,3,open
蜜雪冰城(万达金街二店),中式快餐,33.653297,116.950918,4.1,8,1,open
库迪咖啡(宿州万达广场店),咖啡馆,33.655359,116.949502,4.1,8,1,open
TT潮沙龙(宿州埇桥万达广场店),生活服务,33.653319,116.95092,4.4,8,4,open
萧县圣泉寺卷面皮(万达金街店),中式快餐,33.655455,116.94937,3.7,8,1,open
韩宫宴炭火烤肉(宿州万达店),中式快餐,33.653945,116.950729,3.9,8,2,open
壹度便利(宿州万达金街店),便利店,33.655425,116.949434,3.9,8,1,open
悦小海老北京铜锅涮肉(宿州万达店),中式快餐,33.654813,116.95016,4.1,8,3,open
徐记手撕面包万达旗舰店,面包甜点,33.655491,116.949337,4,8,1,open
老北京火锅(万达广场宿州店),中式快餐,33.654639,116.950318,4,8,2,open
